"district","rooms","price_€","area_sq_m","distance_to_sea_m","avg_pr_per_dist_rooms","price_deviation"
Alanya(Center),"3+1",283500.0,145.0,400.0,377776.32,-94276.32
Oba,"3+2",210000.0,220.0,1500.0,304166.67,-94166.66999999998
Mahmutlar,"3+2",262500.0,250.0,50.0,356333.33,-93833.33000000002
Oba,"4+1",200000.0,165.0,1300.0,293527.78,-93527.78000000003
Alanya(Center),"2+1",110500.0,120.0,300.0,203551.52,-93051.51999999999
Oba,"2+1",93500.0,120.0,200.0,186147.54,-92647.54000000001
Mahmutlar,"3+1",173500.0,165.0,150.0,266088.24,-92588.23999999999
Mahmutlar,"3+1",173500.0,186.0,350.0,266088.24,-92588.23999999999
Gazipaşa,"3+1",195000.0,147.0,1300.0,287000.0,-92000.0
Mahmutlar,"4+1",198000.0,220.0,100.0,289800.0,-91800.0
Mahmutlar,"4+1",198500.0,244.0,250.0,289800.0,-91300.0
Cikcilli,"2+1",105000.0,105.0,1200.0,195942.31,-90942.31
Kargıcak,"3+1",262500.0,220.0,4000.0,353267.86,-90767.85999999999
Kargıcak,"3+1",262500.0,210.0,4000.0,353267.86,-90767.85999999999
Tosmur,"3+1",275000.0,160.0,800.0,365000.0,-90000.0
Kargıcak,"2+1",149000.0,89.0,400.0,238600.0,-89600.0
Kargıcak,"3+1",264000.0,270.0,800.0,353267.86,-89267.85999999999
Mahmutlar,"2+1",75000.0,100.0,250.0,164145.71,-89145.70999999999
Oba,"3+1",189000.0,120.0,2500.0,277600.0,-88600.0
Kargıcak,"3+1",265000.0,220.0,1500.0,353267.86,-88267.85999999999
Alanya(Center),"2+1",115500.0,120.0,700.0,203551.52,-88051.51999999999
Alanya(Center),"1+1",80500.0,40.0,625.0,168298.97,-87798.97
Alanya(Center),"3+1",290000.0,122.0,1500.0,377776.32,-87776.32
Alanya(Center),"3+1",290000.0,150.0,800.0,377776.32,-87776.32
Oba,"3+1",190000.0,180.0,200.0,277600.0,-87600.0
Oba,"2+1",100000.0,100.0,400.0,186147.54,-86147.54000000001
Alanya(Center),"1+1",82500.0,50.0,550.0,168298.97,-85798.97
Cikcilli,"2+1",110500.0,110.0,1200.0,195942.31,-85442.31
Konaklı,"2+1",102000.0,105.0,280.0,187250.0,-85250.0
Mahmutlar,"4+1",205000.0,255.0,350.0,289800.0,-84800.0
Mahmutlar,"3+1",181500.0,130.0,300.0,266088.24,-84588.23999999999
Kargıcak,"1+1",64500.0,45.0,2500.0,149085.94,-84585.94
Tosmur,"1+1",86000.0,60.0,800.0,170152.75,-84152.75
Oba,"2+1",102000.0,85.0,2500.0,186147.54,-84147.54000000001
Oba,"4+1",210000.0,220.0,1200.0,293527.78,-83527.78000000003
Oba,"4+1",210000.0,210.0,2500.0,293527.78,-83527.78000000003
Oba,"3+1",194500.0,170.0,300.0,277600.0,-83100.0
Alanya(Center),"2+1",121000.0,100.0,800.0,203551.52,-82551.51999999999
Alanya(Center),"2+1",121000.0,110.0,1200.0,203551.52,-82551.51999999999
Alanya(Center),"2+1",121000.0,85.0,400.0,203551.52,-82551.51999999999
Alanya(Center),"1+1",86000.0,48.0,300.0,168298.97,-82298.97
Oba,"2+1",104500.0,115.0,500.0,186147.54,-81647.54000000001
Türkler,"2+1",165000.0,90.0,600.0,246250.0,-81250.0
Oba,"2+1",105000.0,100.0,3500.0,186147.54,-81147.54000000001
Oba,"2+1",105000.0,85.0,2000.0,186147.54,-81147.54000000001
Oba,"2+1",105000.0,95.0,2800.0,186147.54,-81147.54000000001
Oba,"2+1",105000.0,105.0,1200.0,186147.54,-81147.54000000001
Kestel,"3+1",140000.0,140.0,2000.0,221000.0,-81000.0
