"district","rooms","price_€","area_sq_m","distance_to_sea_m","avg_pr_per_dist_rooms","price_deviation"
Mahmutlar,"1+1",72000.0,55.0,1000.0,115592.19,-43592.19
Cikcilli,"2+1",152500.0,115.0,1200.0,195942.31,-43442.31
Oba,"1+1",89000.0,56.0,2500.0,132396.36,-43396.359999999986
Kargıcak,"3+1",310000.0,170.0,600.0,353267.86,-43267.859999999986
Avsallar,"5+1",143000.0,180.0,900.0,186166.67,-43166.67000000001
Mahmutlar,"2+1",121000.0,140.0,350.0,164145.71,-43145.70999999999
Mahmutlar,"2+1",121000.0,100.0,50.0,164145.71,-43145.70999999999
Mahmutlar,"2+1",121000.0,120.0,400.0,164145.71,-43145.70999999999
Mahmutlar,"2+1",121000.0,110.0,150.0,164145.71,-43145.70999999999
Mahmutlar,"2+1",121000.0,123.0,350.0,164145.71,-43145.70999999999
Mahmutlar,"2+1",121000.0,105.0,1300.0,164145.71,-43145.70999999999
Mahmutlar,"2+1",121000.0,125.0,700.0,164145.71,-43145.70999999999
Mahmutlar,"2+1",121000.0,105.0,350.0,164145.71,-43145.70999999999
Mahmutlar,"2+1",121000.0,105.0,500.0,164145.71,-43145.70999999999
Mahmutlar,"2+1",121000.0,73.0,600.0,164145.71,-43145.70999999999
Mahmutlar,"1+1",72500.0,50.0,1500.0,115592.19,-43092.19
Oba,"1+1",89500.0,70.0,2800.0,132396.36,-42896.359999999986
Cikcilli,"3+1",271000.0,250.0,2000.0,313875.0,-42875.0
Mahmutlar,"1+1",73000.0,50.0,600.0,115592.19,-42592.19
Mahmutlar,"1+1",73000.0,49.0,2500.0,115592.19,-42592.19
Oba,"1+1",90000.0,55.0,350.0,132396.36,-42396.359999999986
Oba,"1+1",90000.0,47.0,2500.0,132396.36,-42396.359999999986
Alanya(Center),"1+1",126000.0,45.0,600.0,168298.97,-42298.97
Alanya(Center),"1+1",126000.0,55.0,400.0,168298.97,-42298.97
Avsallar,"1+1",52000.0,59.0,1700.0,94188.54,-42188.53999999999
Oba,"2+1",144000.0,110.0,300.0,186147.54,-42147.54000000001
Mahmutlar,"2+1",122000.0,100.0,900.0,164145.71,-42145.70999999999
Oba,"1+1",90500.0,50.0,250.0,132396.36,-41896.359999999986
Mahmutlar,"1+1",74000.0,55.0,1500.0,115592.19,-41592.19
Mahmutlar,"1+1",74000.0,50.0,650.0,115592.19,-41592.19
Mahmutlar,"1+1",74000.0,55.0,370.0,115592.19,-41592.19
Oba,"1+1",91000.0,50.0,2700.0,132396.36,-41396.359999999986
Oba,"1+1",91000.0,60.0,1800.0,132396.36,-41396.359999999986
Oba,"1+1",91000.0,56.0,2500.0,132396.36,-41396.359999999986
Oba,"2+1",145000.0,100.0,950.0,186147.54,-41147.54000000001
Oba,"3+1",236500.0,120.0,750.0,277600.0,-41100.0
Oba,"3+1",236500.0,140.0,300.0,277600.0,-41100.0
Kestel,"1+1",105000.0,60.0,30.0,145889.58,-40889.57999999999
Alanya(Center),"1+1",127500.0,50.0,1200.0,168298.97,-40798.97
Mahmutlar,"2+1",123500.0,106.0,1200.0,164145.71,-40645.70999999999
Mahmutlar,"1+1",75000.0,60.0,400.0,115592.19,-40592.19
Mahmutlar,"1+1",75000.0,55.0,400.0,115592.19,-40592.19
Mahmutlar,"1+1",75000.0,55.0,500.0,115592.19,-40592.19
Mahmutlar,"1+1",75000.0,55.0,1500.0,115592.19,-40592.19
Alanya(Center),"2+1",163000.0,92.0,1000.0,203551.52,-40551.51999999999
Alanya(Center),"2+1",163000.0,100.0,150.0,203551.52,-40551.51999999999
Oba,"1+1",92000.0,62.0,3500.0,132396.36,-40396.359999999986
Demirtaş,"2+1",102000.0,85.0,500.0,142200.0,-40200.0
Tosmur,"1+1",130000.0,65.0,300.0,170152.75,-40152.75
Oba,"2+1",146000.0,110.0,1000.0,186147.54,-40147.54000000001
Mahmutlar,"2+1",124000.0,120.0,300.0,164145.71,-40145.70999999999
Kargıcak,"1+1",109000.0,46.0,350.0,149085.94,-40085.94
Mahmutlar,"1+1",76000.0,50.0,650.0,115592.19,-39592.19
Alanya(Center),"1+1",129000.0,45.0,300.0,168298.97,-39298.97
Kargıcak,"3+1",314000.0,170.0,100.0,353267.86,-39267.859999999986
Avsallar,"1+1",55000.0,40.0,1400.0,94188.54,-39188.53999999999
Oba,"2+1",147000.0,120.0,1700.0,186147.54,-39147.54000000001
Kargıcak,"2+1",199500.0,130.0,700.0,238600.0,-39100.0
Kargıcak,"1+1",110000.0,66.0,200.0,149085.94,-39085.94
Kargıcak,"1+1",110500.0,73.0,200.0,149085.94,-38585.94
Alanya(Center),"2+1",165000.0,83.0,350.0,203551.52,-38551.51999999999
Gazipaşa,"1+1",58000.0,55.0,2200.0,96399.06,-38399.06
Avsallar,"1+1",56000.0,50.0,1700.0,94188.54,-38188.53999999999
Mahmutlar,"2+1",126000.0,130.0,650.0,164145.71,-38145.70999999999
Mahmutlar,"2+1",126000.0,150.0,1600.0,164145.71,-38145.70999999999
Mahmutlar,"2+1",126000.0,80.0,300.0,164145.71,-38145.70999999999
Mahmutlar,"2+1",126000.0,115.0,1500.0,164145.71,-38145.70999999999
Alanya(Center),"3+1",340000.0,165.0,500.0,377776.32,-37776.32000000001
Mahmutlar,"1+1",78000.0,55.0,850.0,115592.19,-37592.19
Demirtaş,"2+1",105000.0,80.0,1200.0,142200.0,-37200.0
Kestel,"3+1",184000.0,150.0,200.0,221000.0,-37000.0
Alanya(Center),"1+1",131500.0,60.0,100.0,168298.97,-36798.97
Mahmutlar,"1+1",79000.0,55.0,800.0,115592.19,-36592.19
Alanya(Center),"1+1",132000.0,55.0,300.0,168298.97,-36298.97
Oba,"3+1",241500.0,220.0,1000.0,277600.0,-36100.0
Oba,"3+1",241500.0,220.0,850.0,277600.0,-36100.0
Gazipaşa,"1+1",60500.0,40.0,2500.0,96399.06,-35899.06
Oba,"1+1",96500.0,51.0,3500.0,132396.36,-35896.359999999986
Mahmutlar,"1+1",80000.0,55.0,900.0,115592.19,-35592.19
Mahmutlar,"1+1",80000.0,56.0,900.0,115592.19,-35592.19
Alanya(Center),"2+1",168000.0,140.0,2000.0,203551.52,-35551.51999999999
Avsallar,"2+1",96500.0,110.0,1400.0,131909.09,-35409.09
Avsallar,"1+1",59000.0,55.0,1500.0,94188.54,-35188.53999999999
Avsallar,"1+1",59000.0,50.0,1400.0,94188.54,-35188.53999999999
Mahmutlar,"1+1",80500.0,60.0,600.0,115592.19,-35092.19
Mahmutlar,"1+1",80500.0,55.0,400.0,115592.19,-35092.19
Mahmutlar,"1+1",80500.0,65.0,400.0,115592.19,-35092.19
Mahmutlar,"1+1",80500.0,60.0,400.0,115592.19,-35092.19
Mahmutlar,"1+1",80500.0,76.0,250.0,115592.19,-35092.19
Mahmutlar,"1+1",80500.0,51.0,1800.0,115592.19,-35092.19
Mahmutlar,"3+1",231000.0,175.0,900.0,266088.24,-35088.23999999999
Oba,"1+1",97500.0,50.0,2800.0,132396.36,-34896.359999999986
Mahmutlar,"2+1",129500.0,125.0,200.0,164145.71,-34645.70999999999
Mahmutlar,"1+1",81000.0,55.0,1300.0,115592.19,-34592.19
Tosmur,"2+1",131500.0,110.0,700.0,165903.23,-34403.23000000001
Avsallar,"1+1",60000.0,55.0,1300.0,94188.54,-34188.53999999999
Mahmutlar,"1+1",81500.0,70.0,300.0,115592.19,-34092.19
Kargıcak,"2+1",205000.0,150.0,700.0,238600.0,-33600.0
Kargıcak,"2+1",205000.0,100.0,200.0,238600.0,-33600.0
Kargıcak,"1+1",115500.0,70.0,250.0,149085.94,-33585.94
Kargıcak,"1+1",115500.0,55.0,200.0,149085.94,-33585.94
Kestel,"1+1",112500.0,55.0,200.0,145889.58,-33389.57999999999
Oba,"2+1",153000.0,98.0,1500.0,186147.54,-33147.54000000001
Mahmutlar,"1+1",82500.0,55.0,400.0,115592.19,-33092.19
Cikcilli,"2+1",163000.0,100.0,2500.0,195942.31,-32942.31
Alanya(Center),"3+1",345000.0,174.0,3000.0,377776.32,-32776.32000000001
Türkler,"1+1",125000.0,56.0,450.0,157666.67,-32666.670000000013
Mahmutlar,"2+1",131500.0,85.0,250.0,164145.71,-32645.709999999992
Mahmutlar,"2+1",131500.0,110.0,400.0,164145.71,-32645.709999999992
Mahmutlar,"2+1",131500.0,125.0,350.0,164145.71,-32645.709999999992
Mahmutlar,"2+1",131500.0,115.0,400.0,164145.71,-32645.709999999992
Mahmutlar,"2+1",131500.0,90.0,600.0,164145.71,-32645.709999999992
Mahmutlar,"1+1",83000.0,55.0,1200.0,115592.19,-32592.190000000002
Mahmutlar,"1+1",83000.0,60.0,300.0,115592.19,-32592.190000000002
Payallar,"1+1",59000.0,45.0,2000.0,91518.52,-32518.520000000004
Payallar,"1+1",59000.0,49.0,1500.0,91518.52,-32518.520000000004
Oba,"1+1",100000.0,60.0,900.0,132396.36,-32396.359999999986
Oba,"1+1",100000.0,54.0,2700.0,132396.36,-32396.359999999986
Oba,"1+1",100000.0,45.0,400.0,132396.36,-32396.359999999986
Kestel,"4+1",346500.0,150.0,400.0,378850.0,-32350.0
Oba,"2+1",154000.0,110.0,1700.0,186147.54,-32147.540000000008
Mahmutlar,"2+1",132000.0,84.0,400.0,164145.71,-32145.709999999992
Mahmutlar,"1+1",83500.0,66.0,400.0,115592.19,-32092.190000000002
Alanya(Center),"3+2",385000.0,280.0,2500.0,417000.0,-32000.0
Oba,"1+1",100500.0,60.0,200.0,132396.36,-31896.359999999986
Alanya(Center),"1+1",136500.0,55.0,1200.0,168298.97,-31798.97
Alanya(Center),"1+1",136500.0,45.0,200.0,168298.97,-31798.97
Alanya(Center),"1+1",136500.0,45.0,250.0,168298.97,-31798.97
Alanya(Center),"1+1",136500.0,55.0,800.0,168298.97,-31798.97
Mahmutlar,"1+1",84000.0,55.0,800.0,115592.19,-31592.190000000002
Mahmutlar,"4+1",258500.0,170.0,800.0,289800.0,-31300.0
Oba,"2+1",155000.0,115.0,700.0,186147.54,-31147.540000000008
Kestel,"2+1",180000.0,110.0,500.0,210711.54,-30711.540000000008
Avsallar,"1+1",63500.0,55.0,900.0,94188.54,-30688.539999999994
Mahmutlar,"2+1",133500.0,120.0,150.0,164145.71,-30645.709999999992
Mahmutlar,"1+1",85000.0,57.0,350.0,115592.19,-30592.190000000002
Mahmutlar,"1+1",85000.0,55.0,1500.0,115592.19,-30592.190000000002
Tosmur,"2+1",135500.0,120.0,300.0,165903.23,-30403.23000000001
Gazipaşa,"1+1",66000.0,52.0,1700.0,96399.06,-30399.059999999998
Oba,"1+1",102000.0,55.0,3500.0,132396.36,-30396.359999999986
Oba,"1+1",102000.0,70.0,1500.0,132396.36,-30396.359999999986
Oba,"1+1",102000.0,60.0,300.0,132396.36,-30396.359999999986
Oba,"1+1",102000.0,55.0,350.0,132396.36,-30396.359999999986
Kestel,"1+1",115500.0,59.0,50.0,145889.58,-30389.579999999987
Kestel,"1+1",115500.0,55.0,700.0,145889.58,-30389.579999999987
Kestel,"1+1",115500.0,55.0,700.0,145889.58,-30389.579999999987
Kestel,"1+1",115500.0,50.0,2300.0,145889.58,-30389.579999999987
Tosmur,"1+1",140000.0,55.0,300.0,170152.75,-30152.75
Mahmutlar,"1+1",85500.0,55.0,600.0,115592.19,-30092.190000000002
Alanya(Center),"2+1",173500.0,117.0,700.0,203551.52,-30051.51999999999
Konaklı,"2+1",157500.0,105.0,300.0,187250.0,-29750.0
Avsallar,"1+1",64500.0,55.0,1400.0,94188.54,-29688.539999999994
Avsallar,"1+1",64500.0,55.0,2000.0,94188.54,-29688.539999999994
Avsallar,"1+1",64500.0,50.0,1700.0,94188.54,-29688.539999999994
Oba,"2+1",156500.0,95.0,800.0,186147.54,-29647.540000000008
Mahmutlar,"2+1",134500.0,160.0,2500.0,164145.71,-29645.709999999992
Mahmutlar,"1+1",86000.0,45.0,2500.0,115592.19,-29592.190000000002
Mahmutlar,"1+1",86000.0,55.0,500.0,115592.19,-29592.190000000002
Tosmur,"2+1",136500.0,110.0,30.0,165903.23,-29403.23000000001
Avsallar,"1+1",65000.0,51.0,1200.0,94188.54,-29188.539999999994
Tosmur,"4+1",315000.0,275.0,500.0,344000.0,-29000.0
Cikcilli,"1+1",89000.0,55.0,1800.0,117833.33,-28833.33
Kestel,"2+1",182000.0,110.0,50.0,210711.54,-28711.540000000008
Oba,"2+1",157500.0,90.0,1200.0,186147.54,-28647.540000000008
Mahmutlar,"1+1",87000.0,55.0,500.0,115592.19,-28592.190000000002
Gazipaşa,"2+1",96500.0,110.0,1400.0,124800.0,-28300.0
Alanya(Center),"1+1",140000.0,60.0,600.0,168298.97,-28298.97
Avsallar,"3+1",236500.0,220.0,2500.0,264750.0,-28250.0
Avsallar,"3+1",236500.0,160.0,1500.0,264750.0,-28250.0
Oba,"2+1",158000.0,108.0,1300.0,186147.54,-28147.540000000008
Mahmutlar,"1+1",87500.0,60.0,350.0,115592.19,-28092.190000000002
Mahmutlar,"1+1",87500.0,51.0,1500.0,115592.19,-28092.190000000002
Payallar,"1+1",63500.0,50.0,2000.0,91518.52,-28018.520000000004
Payallar,"1+1",63500.0,60.0,2000.0,91518.52,-28018.520000000004
Gazipaşa,"1+1",68500.0,50.0,2300.0,96399.06,-27899.059999999998
Kargıcak,"3+1",325500.0,250.0,3000.0,353267.86,-27767.859999999986
Mahmutlar,"2+1",136500.0,105.0,850.0,164145.71,-27645.709999999992
Mahmutlar,"2+1",136500.0,110.0,150.0,164145.71,-27645.709999999992
Mahmutlar,"2+1",136500.0,125.0,350.0,164145.71,-27645.709999999992
Mahmutlar,"2+1",136500.0,105.0,450.0,164145.71,-27645.709999999992
Mahmutlar,"2+1",136500.0,150.0,100.0,164145.71,-27645.709999999992
Mahmutlar,"1+1",88000.0,50.0,400.0,115592.19,-27592.190000000002
Oba,"1+1",105000.0,41.0,2000.0,132396.36,-27396.359999999986
Oba,"1+1",105000.0,52.0,1500.0,132396.36,-27396.359999999986
Oba,"1+1",105000.0,65.0,4000.0,132396.36,-27396.359999999986
Avsallar,"1+1",67000.0,52.0,1250.0,94188.54,-27188.539999999994
Mahmutlar,"1+1",88500.0,48.0,630.0,115592.19,-27092.190000000002
Payallar,"1+1",64500.0,45.0,2000.0,91518.52,-27018.520000000004
Avsallar,"2+1",105000.0,97.0,1500.0,131909.09,-26909.089999999997
Avsallar,"2+1",105000.0,110.0,900.0,131909.09,-26909.089999999997
Avsallar,"2+1",105000.0,87.0,1500.0,131909.09,-26909.089999999997
Avsallar,"2+1",105000.0,75.0,1300.0,131909.09,-26909.089999999997
Avsallar,"2+1",105000.0,97.0,1500.0,131909.09,-26909.089999999997
Cikcilli,"1+1",91000.0,55.0,1800.0,117833.33,-26833.33
Avsallar,"1+1",67500.0,55.0,1400.0,94188.54,-26688.539999999994
Avsallar,"1+1",67500.0,45.0,1700.0,94188.54,-26688.539999999994
Avsallar,"1+1",67500.0,55.0,2000.0,94188.54,-26688.539999999994
Mahmutlar,"1+1",89000.0,45.0,650.0,115592.19,-26592.190000000002
Mahmutlar,"1+1",89000.0,55.0,850.0,115592.19,-26592.190000000002
Oba,"1+1",106000.0,55.0,2000.0,132396.36,-26396.359999999986
Oba,"1+1",106000.0,50.0,1300.0,132396.36,-26396.359999999986
Gazipaşa,"2+1",98500.0,100.0,2800.0,124800.0,-26300.0
Alanya(Center),"1+1",142000.0,55.0,100.0,168298.97,-26298.97
Alanya(Center),"1+1",142000.0,65.0,350.0,168298.97,-26298.97
Alanya(Center),"1+1",142000.0,62.0,600.0,168298.97,-26298.97
Alanya(Center),"1+1",142000.0,50.0,250.0,168298.97,-26298.97
Mahmutlar,"1+1",89500.0,65.0,3000.0,115592.19,-26092.190000000002
Tosmur,"2+1",140000.0,110.0,600.0,165903.23,-25903.23000000001
Avsallar,"1+1",68500.0,50.0,1200.0,94188.54,-25688.539999999994
Avsallar,"1+1",68500.0,42.0,1400.0,94188.54,-25688.539999999994
Mahmutlar,"1+1",90000.0,62.0,400.0,115592.19,-25592.190000000002
Payallar,"1+1",66000.0,55.0,2000.0,91518.52,-25518.520000000004
Alanya(Center),"1+1",143000.0,58.0,1200.0,168298.97,-25298.97
Avsallar,"1+1",69000.0,50.0,800.0,94188.54,-25188.539999999994
Oba,"2+1",161000.0,95.0,300.0,186147.54,-25147.540000000008
Mahmutlar,"2+1",139000.0,140.0,600.0,164145.71,-25145.709999999992
Kargıcak,"1+1",124000.0,50.0,200.0,149085.94,-25085.940000000002
Kargıcak,"1+1",124000.0,52.0,500.0,149085.94,-25085.940000000002
Demirtaş,"1+1",70000.0,55.0,1200.0,94937.5,-24937.5
Demirtaş,"1+1",70000.0,65.0,700.0,94937.5,-24937.5
Kestel,"1+1",121000.0,65.0,50.0,145889.58,-24889.579999999987
Avsallar,"1+1",69500.0,55.0,1000.0,94188.54,-24688.539999999994
Mahmutlar,"1+1",91000.0,65.0,150.0,115592.19,-24592.190000000002
Mahmutlar,"1+1",91000.0,55.0,550.0,115592.19,-24592.190000000002
Mahmutlar,"1+1",91000.0,65.0,400.0,115592.19,-24592.190000000002
Mahmutlar,"3+1",241500.0,163.0,100.0,266088.24,-24588.23999999999
Kargıcak,"1+1",124500.0,55.0,100.0,149085.94,-24585.940000000002
Avsallar,"1+1",70000.0,50.0,1500.0,94188.54,-24188.539999999994
Avsallar,"1+1",70000.0,50.0,1200.0,94188.54,-24188.539999999994
Avsallar,"1+1",70000.0,63.0,1500.0,94188.54,-24188.539999999994
Kestel,"5+1",297000.0,280.0,250.0,321166.67,-24166.669999999984
Mahmutlar,"2+1",140000.0,105.0,350.0,164145.71,-24145.709999999992
Mahmutlar,"2+1",140000.0,110.0,50.0,164145.71,-24145.709999999992
Mahmutlar,"2+1",140000.0,120.0,150.0,164145.71,-24145.709999999992
Mahmutlar,"2+1",140000.0,115.0,50.0,164145.71,-24145.709999999992
Konaklı,"1+1",129000.0,57.0,1400.0,153062.5,-24062.5
Tosmur,"2+1",142000.0,115.0,600.0,165903.23,-23903.23000000001
Tosmur,"2+1",142000.0,105.0,600.0,165903.23,-23903.23000000001
Kargıcak,"2+1",215000.0,147.0,700.0,238600.0,-23600.0
Avsallar,"1+1",71000.0,55.0,1000.0,94188.54,-23188.539999999994
Mahmutlar,"1+1",92500.0,65.0,300.0,115592.19,-23092.190000000002
Payallar,"1+1",68500.0,54.0,700.0,91518.52,-23018.520000000004
Mahmutlar,"1+1",93000.0,53.0,900.0,115592.19,-22592.190000000002
Cikcilli,"2+1",173500.0,115.0,1000.0,195942.31,-22442.309999999998
Oba,"1+1",110000.0,53.0,2000.0,132396.36,-22396.359999999986
Oba,"1+1",110000.0,50.0,4000.0,132396.36,-22396.359999999986
Cikcilli,"1+1",95500.0,65.0,1500.0,117833.33,-22333.33
Alanya(Center),"1+1",146000.0,60.0,500.0,168298.97,-22298.97
Mahmutlar,"1+0",54000.0,55.0,500.0,76200.0,-22200.0
Mahmutlar,"2+1",142000.0,115.0,300.0,164145.71,-22145.709999999992
Mahmutlar,"2+1",142000.0,100.0,1500.0,164145.71,-22145.709999999992
Mahmutlar,"2+1",142000.0,130.0,400.0,164145.71,-22145.709999999992
Mahmutlar,"2+1",142000.0,80.0,400.0,164145.71,-22145.709999999992
Mahmutlar,"1+1",93500.0,60.0,300.0,115592.19,-22092.190000000002
Mahmutlar,"1+1",93500.0,52.0,800.0,115592.19,-22092.190000000002
Mahmutlar,"1+1",93500.0,55.0,550.0,115592.19,-22092.190000000002
Avsallar,"2+1",110000.0,65.0,1700.0,131909.09,-21909.089999999997
Oba,"1+1",110500.0,54.0,2000.0,132396.36,-21896.359999999986
Oba,"1+1",110500.0,55.0,1800.0,132396.36,-21896.359999999986
Oba,"1+1",110500.0,55.0,2500.0,132396.36,-21896.359999999986
Okurcalar,"1+1",99000.0,56.0,100.0,120500.0,-21500.0
Demirtaş,"1+1",73500.0,55.0,1200.0,94937.5,-21437.5
Gazipaşa,"1+1",75000.0,54.0,2000.0,96399.06,-21399.059999999998
Gazipaşa,"1+1",75000.0,60.0,1300.0,96399.06,-21399.059999999998
Alanya(Center),"1+1",147000.0,50.0,850.0,168298.97,-21298.97
Mahmutlar,"2+1",143000.0,110.0,400.0,164145.71,-21145.709999999992
Mahmutlar,"1+1",94500.0,68.0,350.0,115592.19,-21092.190000000002
Mahmutlar,"1+1",94500.0,70.0,500.0,115592.19,-21092.190000000002
Mahmutlar,"1+1",95000.0,54.0,1500.0,115592.19,-20592.190000000002
Oba,"4+1",273000.0,220.0,850.0,293527.78,-20527.780000000028
Oba,"4+1",273000.0,250.0,2500.0,293527.78,-20527.780000000028
Oba,"1+1",112000.0,81.0,1500.0,132396.36,-20396.359999999986
Konaklı,"2+1",167000.0,125.0,400.0,187250.0,-20250.0
Avsallar,"1+1",74000.0,46.0,1400.0,94188.54,-20188.539999999994
Mahmutlar,"2+1",144000.0,120.0,200.0,164145.71,-20145.709999999992
Oba,"1+1",112500.0,48.0,2000.0,132396.36,-19896.359999999986
Kestel,"1+1",126000.0,68.0,150.0,145889.58,-19889.579999999987
Kestel,"1+1",126000.0,65.0,100.0,145889.58,-19889.579999999987
Kargıcak,"1+1",129500.0,61.0,1100.0,149085.94,-19585.940000000002
Alanya(Center),"2+1",184000.0,127.0,250.0,203551.52,-19551.51999999999
Alanya(Center),"1+1",149000.0,50.0,650.0,168298.97,-19298.97
Avsallar,"1+1",75000.0,56.0,900.0,94188.54,-19188.539999999994
Avsallar,"1+1",75000.0,55.0,2000.0,94188.54,-19188.539999999994
Avsallar,"1+1",75000.0,43.0,900.0,94188.54,-19188.539999999994
Mahmutlar,"1+1",96500.0,65.0,500.0,115592.19,-19092.190000000002
Mahmutlar,"1+1",96500.0,53.0,600.0,115592.19,-19092.190000000002
Mahmutlar,"1+1",96500.0,56.0,400.0,115592.19,-19092.190000000002
Mahmutlar,"1+1",96500.0,55.0,500.0,115592.19,-19092.190000000002
Payallar,"1+1",72500.0,55.0,780.0,91518.52,-19018.520000000004
Tosmur,"2+1",147000.0,125.0,700.0,165903.23,-18903.23000000001
Oba,"3+1",259000.0,138.0,2500.0,277600.0,-18600.0
Mahmutlar,"1+1",97000.0,55.0,450.0,115592.19,-18592.190000000002
Alanya(Center),"2+1",185000.0,59.0,1200.0,203551.52,-18551.51999999999
Payallar,"1+1",73000.0,63.0,2200.0,91518.52,-18518.520000000004
Oba,"2+1",168000.0,120.0,1500.0,186147.54,-18147.540000000008
Oba,"2+1",168000.0,100.0,1900.0,186147.54,-18147.540000000008
Mahmutlar,"2+1",146000.0,140.0,150.0,164145.71,-18145.709999999992
Cikcilli,"1+1",100000.0,60.0,800.0,117833.33,-17833.33
Kargıcak,"1+1",131500.0,65.0,30.0,149085.94,-17585.940000000002
Konaklı,"1+1",135500.0,45.0,700.0,153062.5,-17562.5
Cikcilli,"2+1",178500.0,98.0,800.0,195942.31,-17442.309999999998
Cikcilli,"2+1",178500.0,100.0,1000.0,195942.31,-17442.309999999998
Gazipaşa,"1+1",79000.0,57.0,2750.0,96399.06,-17399.059999999998
Gazipaşa,"1+1",79000.0,50.0,1500.0,96399.06,-17399.059999999998
Mahmutlar,"2+1",147000.0,130.0,50.0,164145.71,-17145.709999999992
Mahmutlar,"2+1",147000.0,100.0,450.0,164145.71,-17145.709999999992
Mahmutlar,"2+1",147000.0,81.0,1800.0,164145.71,-17145.709999999992
Mahmutlar,"1+1",98500.0,55.0,400.0,115592.19,-17092.190000000002
Kargıcak,"1+1",132000.0,56.0,280.0,149085.94,-17085.940000000002
Kestel,"3+1",204000.0,194.0,300.0,221000.0,-17000.0
Oba,"1+1",115500.0,55.0,1700.0,132396.36,-16896.359999999986
Oba,"1+1",115500.0,73.0,500.0,132396.36,-16896.359999999986
Oba,"1+1",115500.0,65.0,500.0,132396.36,-16896.359999999986
Türkler,"1+1",141000.0,85.0,300.0,157666.67,-16666.670000000013
Mahmutlar,"1+1",99000.0,55.0,250.0,115592.19,-16592.190000000002
Demirtaş,"1+1",78500.0,55.0,1200.0,94937.5,-16437.5
Oba,"1+1",116350.0,51.0,2300.0,132396.36,-16046.359999999986
Kestel,"3+1",205000.0,120.0,400.0,221000.0,-16000.0
Cikcilli,"2+1",180000.0,120.0,1000.0,195942.31,-15942.309999999998
Demirtaş,"1+1",79000.0,46.0,1500.0,94937.5,-15937.5
Demirtaş,"1+1",79000.0,46.0,750.0,94937.5,-15937.5
Cikcilli,"1+1",102000.0,75.0,850.0,117833.33,-15833.330000000002
Alanya(Center),"1+1",152500.0,55.0,550.0,168298.97,-15798.970000000001
Avsallar,"1+1",78500.0,48.0,800.0,94188.54,-15688.539999999994
Mahmutlar,"2+1",148500.0,115.0,1500.0,164145.71,-15645.709999999992
Mahmutlar,"2+1",148500.0,115.0,500.0,164145.71,-15645.709999999992
Mahmutlar,"1+1",100000.0,53.0,400.0,115592.19,-15592.190000000002
Mahmutlar,"1+1",100000.0,60.0,400.0,115592.19,-15592.190000000002
Mahmutlar,"1+1",100000.0,54.0,300.0,115592.19,-15592.190000000002
Mahmutlar,"1+1",100000.0,58.0,200.0,115592.19,-15592.190000000002
Avsallar,"1+1",79000.0,65.0,800.0,94188.54,-15188.539999999994
Avsallar,"1+1",79000.0,46.0,550.0,94188.54,-15188.539999999994
Oba,"3+1",262500.0,120.0,3000.0,277600.0,-15100.0
Alanya(Center),"2+1",189000.0,100.0,1000.0,203551.52,-14551.51999999999
Alanya(Center),"2+1",189000.0,155.0,3000.0,203551.52,-14551.51999999999
Demirtaş,"1+1",80500.0,61.0,1300.0,94937.5,-14437.5
Oba,"1+1",118000.0,61.0,2800.0,132396.36,-14396.359999999986
Cikcilli,"3+1",299500.0,165.0,700.0,313875.0,-14375.0
Mahmutlar,"1+1",101500.0,70.0,1500.0,115592.19,-14092.190000000002
Avsallar,"2+1",118000.0,94.0,1000.0,131909.09,-13909.089999999997
Konaklı,"2+1",173500.0,115.0,350.0,187250.0,-13750.0
Avsallar,"1+1",80500.0,47.0,800.0,94188.54,-13688.539999999994
Avsallar,"1+1",80500.0,50.0,1000.0,94188.54,-13688.539999999994
Avsallar,"1+1",80500.0,60.0,1200.0,94188.54,-13688.539999999994
Avsallar,"1+1",80500.0,45.0,1000.0,94188.54,-13688.539999999994
Mahmutlar,"1+1",102000.0,70.0,800.0,115592.19,-13592.190000000002
Mahmutlar,"1+1",102000.0,55.0,550.0,115592.19,-13592.190000000002
Alanya(Center),"2+1",190000.0,74.0,250.0,203551.52,-13551.51999999999
Tosmur,"2+1",152500.0,124.0,550.0,165903.23,-13403.23000000001
Oba,"1+1",119000.0,55.0,100.0,132396.36,-13396.359999999986
Oba,"1+1",119000.0,65.0,300.0,132396.36,-13396.359999999986
Kestel,"1+1",132500.0,45.0,50.0,145889.58,-13389.579999999987
Cikcilli,"1+1",104500.0,41.0,1200.0,117833.33,-13333.330000000002
Alanya(Center),"1+1",155000.0,55.0,300.0,168298.97,-13298.970000000001
Alanya(Center),"1+1",155000.0,60.0,700.0,168298.97,-13298.970000000001
Alanya(Center),"1+1",155000.0,53.0,600.0,168298.97,-13298.970000000001
Demirtaş,"2+1",129000.0,110.0,2000.0,142200.0,-13200.0
Avsallar,"1+1",81000.0,53.0,2000.0,94188.54,-13188.539999999994
Payallar,"2+1",93000.0,95.0,3000.0,106166.67,-13166.669999999998
Avsallar,"5+1",173500.0,250.0,450.0,186166.67,-12666.670000000013
Tosmur,"1+1",157500.0,70.0,450.0,170152.75,-12652.75
Oba,"2+1",173500.0,125.0,150.0,186147.54,-12647.540000000008
Oba,"2+1",173500.0,90.0,2000.0,186147.54,-12647.540000000008
Mahmutlar,"2+1",151500.0,110.0,50.0,164145.71,-12645.709999999992
Kargıcak,"2+1",226000.0,110.0,60.0,238600.0,-12600.0
